stream,query,template,s_time,e_time,elapsed_time,diff_time
0,1,query1.tpl,2024-06-27 03:05:43,2024-06-27 03:09:14,00:03:30.843212,210.843212
0,2,../query_postgresql/query2.tpl,2024-06-27 03:09:14,2024-06-27 03:09:15,00:00:00.794629,0.794629
0,3,query3.tpl,2024-06-27 03:09:15,2024-06-27 03:09:15,00:00:00.029784,0.029784
0,4,query4.tpl,2024-06-27 03:09:15,2024-06-27 04:12:15,01:03:00.399895,3780.399895
0,5,../query_postgresql/query5.tpl,2024-06-27 04:12:15,2024-06-27 04:12:18,00:00:02.557555,2.557555
0,6,query6.tpl,2024-06-27 04:12:18,2024-06-27 04:14:29,00:02:11.853501,131.853501
0,7,query7.tpl,2024-06-27 04:14:29,2024-06-27 04:14:30,00:00:00.99462,0.994620
0,8,query8.tpl,2024-06-27 04:14:30,2024-06-27 04:14:31,00:00:00.132184,0.132184
0,9,query9.tpl,2024-06-27 04:14:31,2024-06-27 04:14:33,00:00:02.283435,2.283435
0,10,query10.tpl,2024-06-27 04:14:33,2024-06-27 04:14:41,00:00:08.552948,8.552948
0,11,query11.tpl,2024-06-27 04:14:41,2024-06-27 04:49:51,00:35:09.698183,2109.698183
0,12,../query_postgresql/query12.tpl,2024-06-27 04:49:51,2024-06-27 04:49:51,00:00:00.026713,0.026713
0,13,query13.tpl,2024-06-27 04:49:51,2024-06-27 04:49:51,00:00:00.32201,0.322010
0,14,../query_postgresql/query14.tpl,2024-06-27 04:49:51,2024-06-27 04:50:30,00:00:38.393291,38.393291
0,15,query15.tpl,2024-06-27 04:50:30,2024-06-27 04:50:30,00:00:00.157882,0.157882
0,16,../query_postgresql/query16.tpl,2024-06-27 04:50:30,2024-06-27 04:50:31,00:00:00.559195,0.559195
0,17,query17.tpl,2024-06-27 04:50:31,2024-06-27 04:50:33,00:00:02.475916,2.475916
0,18,query18.tpl,2024-06-27 04:50:33,2024-06-27 04:50:34,00:00:00.736267,0.736267
0,19,query19.tpl,2024-06-27 04:50:34,2024-06-27 04:50:34,00:00:00.202896,0.202896
0,20,../query_postgresql/query20.tpl,2024-06-27 04:50:34,2024-06-27 04:50:34,00:00:00.049842,0.049842
0,21,../query_postgresql/query21.tpl,2024-06-27 04:50:34,2024-06-27 04:50:35,00:00:00.658189,0.658189
0,22,query22.tpl,2024-06-27 04:50:35,2024-06-27 04:50:40,00:00:04.924966,4.924966
0,23,../query_postgresql/query23.tpl,2024-06-27 04:50:40,2024-06-27 04:50:47,00:00:07.671933,7.671933
0,24,query24.tpl,2024-06-27 04:50:47,2024-06-27 04:50:47,00:00:00.023665,0.023665
0,25,query25.tpl,2024-06-27 04:50:47,2024-06-27 04:50:49,00:00:01.829772,1.829772
0,26,query26.tpl,2024-06-27 04:50:49,2024-06-27 04:50:50,00:00:00.644974,0.644974
0,27,query27.tpl,2024-06-27 04:50:50,2024-06-27 04:50:51,00:00:00.87872,0.878720
0,28,query28.tpl,2024-06-27 04:50:51,2024-06-27 04:50:52,00:00:01.596008,1.596008
0,29,query29.tpl,2024-06-27 04:50:52,2024-06-27 04:50:53,00:00:01.090334,1.090334
0,30,query30.tpl,2024-06-27 04:50:53,2024-06-27 04:51:09,00:00:15.705185,15.705185
0,31,query31.tpl,2024-06-27 04:51:09,2024-06-27 04:51:19,00:00:09.763023,9.763023
0,32,../query_postgresql/query32.tpl,2024-06-27 04:51:19,2024-06-27 04:51:19,00:00:00.027784,0.027784
0,33,query33.tpl,2024-06-27 04:51:19,2024-06-27 04:51:19,00:00:00.167422,0.167422
0,34,query34.tpl,2024-06-27 04:51:19,2024-06-27 04:51:19,00:00:00.388366,0.388366
0,35,query35.tpl,2024-06-27 04:51:19,2024-06-27 04:51:20,00:00:00.549029,0.549029
0,36,../query_variants/query36a.tpl,2024-06-27 04:51:20,2024-06-27 04:51:21,00:00:01.103095,1.103095
0,37,../query_postgresql/query37.tpl,2024-06-27 04:51:21,2024-06-27 04:51:21,00:00:00.008555,0.008555
0,38,query38.tpl,2024-06-27 04:51:21,2024-06-27 04:51:23,00:00:02.247006,2.247006
0,39,query39.tpl,2024-06-27 04:51:23,2024-06-27 04:51:28,00:00:04.912983,4.912983
0,40,../query_postgresql/query40.tpl,2024-06-27 04:51:28,2024-06-27 04:51:28,00:00:00.063663,0.063663
0,41,query41.tpl,2024-06-27 04:51:28,2024-06-27 04:51:29,00:00:00.663098,0.663098
0,42,query42.tpl,2024-06-27 04:51:29,2024-06-27 04:51:29,00:00:00.191224,0.191224
0,43,query43.tpl,2024-06-27 04:51:29,2024-06-27 04:51:30,00:00:00.539948,0.539948
0,44,query44.tpl,2024-06-27 04:51:30,2024-06-27 04:51:31,00:00:00.962653,0.962653
0,45,query45.tpl,2024-06-27 04:51:31,2024-06-27 04:51:31,00:00:00.119632,0.119632
0,46,query46.tpl,2024-06-27 04:51:31,2024-06-27 04:51:31,00:00:00.506722,0.506722
0,47,query47.tpl,2024-06-27 04:51:31,2024-06-27 04:51:33,00:00:01.915913,1.915913
0,48,query48.tpl,2024-06-27 04:51:33,2024-06-27 04:51:34,00:00:00.451594,0.451594
0,49,../query_postgresql/query49.tpl,2024-06-27 04:51:34,2024-06-27 04:51:34,00:00:00.114781,0.114781
0,50,query50.tpl,2024-06-27 04:51:34,2024-06-27 04:51:34,00:00:00.044567,0.044567
0,51,query51.tpl,2024-06-27 04:51:34,2024-06-27 04:51:35,00:00:01.441639,1.441639
0,52,query52.tpl,2024-06-27 04:51:35,2024-06-27 04:51:35,00:00:00.196591,0.196591
0,53,query53.tpl,2024-06-27 04:51:35,2024-06-27 04:51:36,00:00:00.214732,0.214732
0,54,query54.tpl,2024-06-27 04:51:36,2024-06-27 04:51:36,00:00:00.420941,0.420941
0,55,query55.tpl,2024-06-27 04:51:36,2024-06-27 04:51:36,00:00:00.188443,0.188443
0,56,query56.tpl,2024-06-27 04:51:36,2024-06-27 04:51:37,00:00:00.286339,0.286339
0,57,query57.tpl,2024-06-27 04:51:37,2024-06-27 04:51:38,00:00:01.639394,1.639394
0,58,query58.tpl,2024-06-27 04:51:38,2024-06-27 04:51:38,00:00:00.081737,0.081737
0,59,query59.tpl,2024-06-27 04:51:38,2024-06-27 04:51:39,00:00:00.916761,0.916761
0,60,query60.tpl,2024-06-27 04:51:39,2024-06-27 04:51:40,00:00:00.390117,0.390117
0,61,query61.tpl,2024-06-27 04:51:40,2024-06-27 04:51:40,00:00:00.003561,0.003561
0,62,query62.tpl,2024-06-27 04:51:40,2024-06-27 04:51:40,00:00:00.237499,0.237499
0,63,query63.tpl,2024-06-27 04:51:40,2024-06-27 04:51:40,00:00:00.194864,0.194864
0,64,query64.tpl,2024-06-27 04:51:40,2024-06-27 04:51:43,00:00:03.360474,3.360474
0,65,query65.tpl,2024-06-27 04:51:43,2024-06-27 04:51:45,00:00:01.123083,1.123083
0,66,query66.tpl,2024-06-27 04:51:45,2024-06-27 04:51:45,00:00:00.425983,0.425983
0,67,query67.tpl,2024-06-27 04:51:45,2024-06-27 04:51:47,00:00:02.087097,2.087097
0,68,query68.tpl,2024-06-27 04:51:47,2024-06-27 04:51:47,00:00:00.266368,0.266368
0,69,query69.tpl,2024-06-27 04:51:47,2024-06-27 04:51:47,00:00:00.011154,0.011154
0,70,../query_postgresql/query70.tpl,2024-06-27 04:51:47,2024-06-27 04:51:48,00:00:01.044523,1.044523
0,71,query71.tpl,2024-06-27 04:51:48,2024-06-27 04:51:49,00:00:00.349549,0.349549
0,72,query72.tpl,2024-06-27 04:51:49,2024-06-27 04:51:49,00:00:00.529739,0.529739
0,73,query73.tpl,2024-06-27 04:51:49,2024-06-27 04:51:49,00:00:00.192088,0.192088
0,74,query74.tpl,2024-06-27 04:51:49,2024-06-27 05:05:32,00:13:42.584945,822.584945
0,75,query75.tpl,2024-06-27 05:05:32,2024-06-27 05:05:34,00:00:01.624651,1.624651
0,76,query76.tpl,2024-06-27 05:05:34,2024-06-27 05:05:34,00:00:00.474607,0.474607
0,77,../query_postgresql/query77.tpl,2024-06-27 05:05:34,2024-06-27 05:05:34,00:00:00.224603,0.224603
0,78,query78.tpl,2024-06-27 05:05:34,2024-06-27 05:05:37,00:00:02.616841,2.616841
0,79,query79.tpl,2024-06-27 05:05:37,2024-06-27 05:05:37,00:00:00.317266,0.317266
0,80,../query_postgresql/query80.tpl,2024-06-27 05:05:37,2024-06-27 05:05:38,00:00:00.288782,0.288782
0,81,query81.tpl,2024-06-27 05:05:38,2024-06-27 05:06:51,00:01:13.036053,73.036053
0,82,../query_postgresql/query82.tpl,2024-06-27 05:06:51,2024-06-27 05:06:51,00:00:00.008082,0.008082
0,83,query83.tpl,2024-06-27 05:06:51,2024-06-27 05:06:51,00:00:00.073145,0.073145
0,84,query84.tpl,2024-06-27 05:06:51,2024-06-27 05:06:51,00:00:00.084624,0.084624
0,85,query85.tpl,2024-06-27 05:06:51,2024-06-27 05:06:51,00:00:00.117796,0.117796
0,86,../query_postgresql/query86.tpl,2024-06-27 05:06:51,2024-06-27 05:06:51,00:00:00.300054,0.300054
0,87,query87.tpl,2024-06-27 05:06:51,2024-06-27 05:06:53,00:00:02.230418,2.230418
0,88,query88.tpl,2024-06-27 05:06:53,2024-06-27 05:06:56,00:00:02.137455,2.137455
0,89,query89.tpl,2024-06-27 05:06:56,2024-06-27 05:06:56,00:00:00.55487,0.554870
0,90,query90.tpl,2024-06-27 05:06:56,2024-06-27 05:06:56,00:00:00.018677,0.018677
0,91,query91.tpl,2024-06-27 05:06:56,2024-06-27 05:06:56,00:00:00.020473,0.020473
0,92,../query_postgresql/query92.tpl,2024-06-27 05:06:56,2024-06-27 05:06:56,00:00:00.019124,0.019124
0,93,query93.tpl,2024-06-27 05:06:56,2024-06-27 05:06:56,00:00:00.000912,0.000912
0,94,../query_postgresql/query94.tpl,2024-06-27 05:06:56,2024-06-27 05:06:56,00:00:00.150373,0.150373
