ctime,datname,nspname,relname,locktype,database,relation,page,tuple,virtualxid,transactionid,classid,objid,objsubid,virtualtransaction,pid,mode,granted,fastpath,waitstart
1719464828.818130,dbt7,pg_catalog,pg_index,relation,4263817,2610,,,,,,,,5/42975,2881353,AccessShareLock,t,t,
1719464828.818130,dbt7,pg_catalog,pg_namespace,relation,4263817,2615,,,,,,,,4/173530,2881352,AccessShareLock,t,t,
1719464828.818130,dbt7,pg_catalog,pg_namespace,relation,4263817,2615,,,,,,,,5/42975,2881353,AccessShareLock,t,t,
1719464828.818130,dbt7,pg_catalog,pg_namespace_nspname_index,relation,4263817,2684,,,,,,,,4/173530,2881352,AccessShareLock,t,t,
1719464828.818130,dbt7,pg_catalog,pg_namespace_oid_index,relation,4263817,2685,,,,,,,,4/173530,2881352,AccessShareLock,t,t,
1719464888.827496,dbt7,public,customer,relation,4263817,4268153,,,,,,,,6/3903,2881382,AccessShareLock,t,t,
1719464888.827496,dbt7,public,customer,relation,4263817,4268153,,,,,,,,4/173725,2881380,AccessShareLock,t,t,
1719464888.827496,dbt7,public,customer,relation,4263817,4268153,,,,,,,,5/43034,2881381,AccessShareLock,t,t,
1719464888.827496,dbt7,public,customer_address,relation,4263817,4268156,,,,,,,,3/342072,2881379,AccessShareLock,t,t,
1719464888.827496,dbt7,public,customer_address,relation,4263817,4268156,,,,,,,,5/43034,2881381,AccessShareLock,t,t,
1719464888.827496,dbt7,public,customer_address,relation,4263817,4268156,,,,,,,,4/173725,2881380,AccessShareLock,t,t,
1719464888.827496,dbt7,public,date_dim,relation,4263817,4268162,,,,,,,,4/173725,2881380,AccessShareLock,t,t,
1719464888.827496,dbt7,public,date_dim,relation,4263817,4268162,,,,,,,,5/43034,2881381,AccessShareLock,t,t,
1719464888.827496,dbt7,public,date_dim,relation,4263817,4268162,,,,,,,,3/342072,2881379,AccessShareLock,t,t,
1719464888.827496,dbt7,public,date_dim,relation,4263817,4268162,,,,,,,,6/3903,2881382,AccessShareLock,t,t,
