ctime,checkpoints_timed,checkpoints_req,checkpoint_write_time,checkpoint_sync_time,buffers_checkpoint,buffers_clean,maxwritten_clean,buffers_backend,buffers_backend_fsync,buffers_alloc,stats_reset
1719464828.822467,420,8,36428599,1453,25475277,3713719,34646,507663567,0,756488527,2024-06-13 18:53:49.178489+00
1719464888.829741,420,8,36428599,1453,25475277,3713719,34646,507663567,0,756496621,2024-06-13 18:53:49.178489+00
1719464948.849285,420,8,36428599,1453,25475277,3713719,34646,507663567,0,756496622,2024-06-13 18:53:49.178489+00
1719465008.851579,420,8,36428599,1453,25475277,3713719,34646,507663567,0,756496622,2024-06-13 18:53:49.178489+00
1719465068.868949,420,8,36428599,1453,25475277,3713719,34646,507663567,0,756496622,2024-06-13 18:53:49.178489+00
1719465128.872067,420,8,36428599,1453,25475277,3713719,34646,507663567,0,756496622,2024-06-13 18:53:49.178489+00
1719465188.883584,420,8,36428599,1453,25475277,3713719,34646,507663567,0,756496624,2024-06-13 18:53:49.178489+00
1719465248.895071,420,8,36428599,1453,25475277,3713719,34646,507663567,0,756496624,2024-06-13 18:53:49.178489+00
1719465308.903896,420,8,36428599,1453,25475277,3713719,34646,507663567,0,756496624,2024-06-13 18:53:49.178489+00
1719465368.922517,420,8,36428599,1453,25475277,3713719,34646,507663567,0,756496624,2024-06-13 18:53:49.178489+00
1719465428.935962,420,8,36428599,1453,25475277,3713719,34646,507663567,0,756496624,2024-06-13 18:53:49.178489+00
1719465488.941577,420,8,36428599,1453,25475277,3713719,34646,507663567,0,756496624,2024-06-13 18:53:49.178489+00
1719465548.957084,420,8,36428599,1453,25475277,3713719,34646,507663567,0,756496624,2024-06-13 18:53:49.178489+00
1719465608.965660,420,8,36428599,1453,25475277,3713719,34646,507663567,0,756496624,2024-06-13 18:53:49.178489+00
1719465668.981346,420,8,36428599,1453,25475277,3713719,34646,507663567,0,756496624,2024-06-13 18:53:49.178489+00
1719465728.994426,420,8,36428599,1453,25475277,3713719,34646,507663567,0,756496649,2024-06-13 18:53:49.178489+00
1719465789.001524,420,8,36428599,1453,25475277,3713719,34646,507663567,0,756496649,2024-06-13 18:53:49.178489+00
1719465849.016716,420,8,36428599,1453,25475277,3713719,34646,507663567,0,756496649,2024-06-13 18:53:49.178489+00
1719465909.029152,420,8,36428599,1453,25475277,3713719,34646,507663567,0,756496649,2024-06-13 18:53:49.178489+00
1719465969.041217,420,8,36428599,1453,25475277,3713719,34646,507663567,0,756496674,2024-06-13 18:53:49.178489+00
1719466029.048757,420,8,36428599,1453,25475277,3713719,34646,507663567,0,756496674,2024-06-13 18:53:49.178489+00
1719466089.060235,420,8,36428599,1453,25475277,3713719,34646,507663567,0,756496674,2024-06-13 18:53:49.178489+00
1719466149.073711,420,8,36428599,1453,25475277,3713719,34646,507663567,0,756496674,2024-06-13 18:53:49.178489+00
1719466209.086130,420,8,36428599,1453,25475277,3713719,34646,507663567,0,756496674,2024-06-13 18:53:49.178489+00
1719466269.097525,420,8,36428599,1453,25475277,3713719,34646,507663567,0,756496674,2024-06-13 18:53:49.178489+00
1719466329.108496,420,8,36428599,1453,25475277,3713719,34646,507663567,0,756496674,2024-06-13 18:53:49.178489+00
1719466389.117307,420,8,36428599,1453,25475277,3713719,34646,507663567,0,756496674,2024-06-13 18:53:49.178489+00
1719466449.132912,420,8,36428599,1453,25475277,3713719,34646,507663567,0,756496674,2024-06-13 18:53:49.178489+00
1719466509.145673,420,8,36428599,1453,25475277,3713719,34646,507663567,0,756496674,2024-06-13 18:53:49.178489+00
1719466569.156353,421,8,36430388,1454,25475294,3713719,34646,507663596,0,756496674,2024-06-13 18:53:49.178489+00
1719466629.160236,421,8,36430388,1454,25475294,3713719,34646,507663596,0,756496674,2024-06-13 18:53:49.178489+00
1719466689.169309,421,8,36430388,1454,25475294,3713719,34646,507663596,0,756496674,2024-06-13 18:53:49.178489+00
1719466749.178234,421,8,36430388,1454,25475294,3713719,34646,507663596,0,756496674,2024-06-13 18:53:49.178489+00
1719466809.195378,421,8,36430388,1454,25475294,3713719,34646,507663596,0,756496674,2024-06-13 18:53:49.178489+00
1719466869.212628,421,8,36430388,1454,25475294,3713719,34646,507663596,0,756496674,2024-06-13 18:53:49.178489+00
1719466929.226539,421,8,36430388,1454,25475294,3713719,34646,507663596,0,756496674,2024-06-13 18:53:49.178489+00
