ctime,datid,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,conflicts,temp_files,temp_bytes,deadlocks,checksum_failures,checksum_last_failure,blk_read_time,blk_write_time,session_time,active_time,idle_in_transaction_time,sessions,sessions_abandoned,sessions_fatal,sessions_killed,stats_reset
1719464828.821834,0,,0,0,0,221,39456624,17506365,8493410,4,0,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719464828.821834,5,postgres,0,1417631,0,617,51790453,620221302,9944946,0,0,0,0,0,0,0,,,0,0,136361.865,71374.839,0,13,0,0,0,
1719464828.821834,4263817,dbt7,3,1378876,192,12007542,1564151227,11330870415,762899497,301436593,18719,34231,0,1104,37821746014,0,,,0,0,174318883.177,95632233.093,0,19439,0,0,0,
1719464828.821834,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719464828.821834,4,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719464828.821834,4212858,dbt5,0,2709346,4989,1084972869,5879591293,60735526784,7852619139,5855372998,496185,28025,0,349,282114736128,0,,,0,0,703597467.385,602790187.119,1558322.915,10072,180,0,0,
1719464888.828697,0,,0,0,0,221,39462214,17507642,8494677,4,0,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719464888.828697,5,postgres,0,1417743,0,617,51794541,620270302,9945730,0,0,0,0,0,0,0,,,0,0,136361.865,71374.839,0,13,0,0,0,
1719464888.828697,4263817,dbt7,9,1379675,192,12015633,1631984288,11551695491,798677586,301436656,18789,34231,0,1133,39170567006,0,,,0,0,174423241.447,95727455.807,0,19458,0,0,0,
1719464888.828697,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719464888.828697,4,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719464888.828697,4212858,dbt5,0,2709458,4989,1084972869,5879595381,60735588608,7852619923,5855372998,496185,28025,0,349,282114736128,0,,,0,0,703597467.385,602790187.119,1558322.915,10072,180,0,0,
1719464948.836979,0,,0,0,0,221,39465834,17508492,8495494,4,0,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719464948.836979,5,postgres,0,1417857,0,617,51798702,620320177,9946528,0,0,0,0,0,0,0,,,0,0,136361.865,71374.839,0,13,0,0,0,
1719464948.836979,4263817,dbt7,11,1379889,192,12015633,1669606523,12026753008,800559003,301436660,18793,34231,0,1139,39456708710,0,,,0,0,174627402.857,95838883.475,0,19475,0,0,0,
1719464948.836979,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719464948.836979,4,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719464948.836979,4212858,dbt5,0,2709570,4989,1084972869,5879599469,60735650432,7852620707,5855372998,496185,28025,0,349,282114736128,0,,,0,0,703597467.385,602790187.119,1558322.915,10072,180,0,0,
1719465008.848347,0,,0,0,0,221,39469514,17509375,8496326,4,0,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719465008.848347,5,postgres,0,1417969,0,617,51802790,620369177,9947312,0,0,0,0,0,0,0,,,0,0,136361.865,71374.839,0,13,0,0,0,
1719465008.848347,4263817,dbt7,9,1380150,193,12015636,1704202282,12524194775,801681869,301436670,18809,34231,0,1140,39472412774,0,,,0,0,174742079.794,95952873.934,0,19494,0,0,0,
1719465008.848347,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719465008.848347,4,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719465008.848347,4212858,dbt5,0,2709684,4989,1084972869,5879603630,60735713360,7852621505,5855372998,496185,28025,0,349,282114736128,0,,,0,0,703597467.385,602790187.119,1558322.915,10072,180,0,0,
1719465068.858767,0,,0,0,0,221,39473908,17510401,8497319,4,0,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
