ctime,datid,datname,confl_tablespace,confl_lock,confl_snapshot,confl_bufferpin,confl_deadlock
1719464828.826261,5,postgres,0,0,0,0,0
1719464828.826261,4263817,dbt7,0,0,0,0,0
1719464828.826261,1,template1,0,0,0,0,0
1719464828.826261,4,template0,0,0,0,0,0
1719464828.826261,4212858,dbt5,0,0,0,0,0
1719464888.838403,5,postgres,0,0,0,0,0
1719464888.838403,4263817,dbt7,0,0,0,0,0
1719464888.838403,1,template1,0,0,0,0,0
1719464888.838403,4,template0,0,0,0,0,0
1719464888.838403,4212858,dbt5,0,0,0,0,0
1719464948.844740,5,postgres,0,0,0,0,0
1719464948.844740,4263817,dbt7,0,0,0,0,0
1719464948.844740,1,template1,0,0,0,0,0
1719464948.844740,4,template0,0,0,0,0,0
1719464948.844740,4212858,dbt5,0,0,0,0,0
1719465008.855518,5,postgres,0,0,0,0,0
1719465008.855518,4263817,dbt7,0,0,0,0,0
1719465008.855518,1,template1,0,0,0,0,0
1719465008.855518,4,template0,0,0,0,0,0
1719465008.855518,4212858,dbt5,0,0,0,0,0
1719465068.860977,5,postgres,0,0,0,0,0
1719465068.860977,4263817,dbt7,0,0,0,0,0
1719465068.860977,1,template1,0,0,0,0,0
1719465068.860977,4,template0,0,0,0,0,0
1719465068.860977,4212858,dbt5,0,0,0,0,0
1719465128.876330,5,postgres,0,0,0,0,0
1719465128.876330,4263817,dbt7,0,0,0,0,0
1719465128.876330,1,template1,0,0,0,0,0
1719465128.876330,4,template0,0,0,0,0,0
1719465128.876330,4212858,dbt5,0,0,0,0,0
1719465188.880103,5,postgres,0,0,0,0,0
1719465188.880103,4263817,dbt7,0,0,0,0,0
1719465188.880103,1,template1,0,0,0,0,0
1719465188.880103,4,template0,0,0,0,0,0
1719465188.880103,4212858,dbt5,0,0,0,0,0
1719465248.896279,5,postgres,0,0,0,0,0
1719465248.896279,4263817,dbt7,0,0,0,0,0
1719465248.896279,1,template1,0,0,0,0,0
1719465248.896279,4,template0,0,0,0,0,0
1719465248.896279,4212858,dbt5,0,0,0,0,0
1719465308.909004,5,postgres,0,0,0,0,0
1719465308.909004,4263817,dbt7,0,0,0,0,0
1719465308.909004,1,template1,0,0,0,0,0
1719465308.909004,4,template0,0,0,0,0,0
1719465308.909004,4212858,dbt5,0,0,0,0,0
1719465368.918482,5,postgres,0,0,0,0,0
1719465368.918482,4263817,dbt7,0,0,0,0,0
1719465368.918482,1,template1,0,0,0,0,0
1719465368.918482,4,template0,0,0,0,0,0
1719465368.918482,4212858,dbt5,0,0,0,0,0
1719465428.937319,5,postgres,0,0,0,0,0
1719465428.937319,4263817,dbt7,0,0,0,0,0
1719465428.937319,1,template1,0,0,0,0,0
1719465428.937319,4,template0,0,0,0,0,0
1719465428.937319,4212858,dbt5,0,0,0,0,0
1719465488.943783,5,postgres,0,0,0,0,0
1719465488.943783,4263817,dbt7,0,0,0,0,0
1719465488.943783,1,template1,0,0,0,0,0
1719465488.943783,4,template0,0,0,0,0,0
1719465488.943783,4212858,dbt5,0,0,0,0,0
1719465548.959000,5,postgres,0,0,0,0,0
1719465548.959000,4263817,dbt7,0,0,0,0,0
1719465548.959000,1,template1,0,0,0,0,0
1719465548.959000,4,template0,0,0,0,0,0
1719465548.959000,4212858,dbt5,0,0,0,0,0
1719465608.971107,5,postgres,0,0,0,0,0
1719465608.971107,4263817,dbt7,0,0,0,0,0
1719465608.971107,1,template1,0,0,0,0,0
1719465608.971107,4,template0,0,0,0,0,0
1719465608.971107,4212858,dbt5,0,0,0,0,0
1719465668.983719,5,postgres,0,0,0,0,0
1719465668.983719,4263817,dbt7,0,0,0,0,0
1719465668.983719,1,template1,0,0,0,0,0
1719465668.983719,4,template0,0,0,0,0,0
1719465668.983719,4212858,dbt5,0,0,0,0,0
1719465728.995009,5,postgres,0,0,0,0,0
1719465728.995009,4263817,dbt7,0,0,0,0,0
1719465728.995009,1,template1,0,0,0,0,0
1719465728.995009,4,template0,0,0,0,0,0
1719465728.995009,4212858,dbt5,0,0,0,0,0
1719465789.000473,5,postgres,0,0,0,0,0
1719465789.000473,4263817,dbt7,0,0,0,0,0
1719465789.000473,1,template1,0,0,0,0,0
1719465789.000473,4,template0,0,0,0,0,0
1719465789.000473,4212858,dbt5,0,0,0,0,0
1719465849.019651,5,postgres,0,0,0,0,0
1719465849.019651,4263817,dbt7,0,0,0,0,0
1719465849.019651,1,template1,0,0,0,0,0
1719465849.019651,4,template0,0,0,0,0,0
1719465849.019651,4212858,dbt5,0,0,0,0,0
1719465909.035913,5,postgres,0,0,0,0,0
1719465909.035913,4263817,dbt7,0,0,0,0,0
1719465909.035913,1,template1,0,0,0,0,0
1719465909.035913,4,template0,0,0,0,0,0
1719465909.035913,4212858,dbt5,0,0,0,0,0
1719465969.044476,5,postgres,0,0,0,0,0
1719465969.044476,4263817,dbt7,0,0,0,0,0
1719465969.044476,1,template1,0,0,0,0,0
1719465969.044476,4,template0,0,0,0,0,0
1719465969.044476,4212858,dbt5,0,0,0,0,0
1719466029.055107,5,postgres,0,0,0,0,0
1719466029.055107,4263817,dbt7,0,0,0,0,0
1719466029.055107,1,template1,0,0,0,0,0
1719466029.055107,4,template0,0,0,0,0,0
1719466029.055107,4212858,dbt5,0,0,0,0,0
1719466089.063316,5,postgres,0,0,0,0,0
1719466089.063316,4263817,dbt7,0,0,0,0,0
