ctime,name,blks_zeroed,blks_hit,blks_read,blks_written,blks_exists,flushes,truncates,stats_reset
1719464828.825906,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719464828.825906,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719464828.825906,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719464828.825906,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719464828.825906,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719464828.825906,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719464828.825906,Xact,705,89826591,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719464828.825906,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719464888.837637,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719464888.837637,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719464888.837637,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719464888.837637,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719464888.837637,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719464888.837637,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719464888.837637,Xact,705,89826837,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719464888.837637,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719464948.848860,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719464948.848860,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719464948.848860,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719464948.848860,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719464948.848860,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719464948.848860,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719464948.848860,Xact,705,89826853,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719464948.848860,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465008.853827,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719465008.853827,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719465008.853827,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719465008.853827,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465008.853827,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465008.853827,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719465008.853827,Xact,705,89826896,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719465008.853827,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465068.861932,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719465068.861932,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719465068.861932,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719465068.861932,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465068.861932,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465068.861932,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719465068.861932,Xact,705,89826956,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719465068.861932,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465128.875815,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719465128.875815,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719465128.875815,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719465128.875815,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465128.875815,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465128.875815,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719465128.875815,Xact,705,89826996,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719465128.875815,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465188.882773,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719465188.882773,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719465188.882773,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719465188.882773,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465188.882773,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465188.882773,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719465188.882773,Xact,705,89827078,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719465188.882773,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465248.892264,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719465248.892264,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719465248.892264,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719465248.892264,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465248.892264,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465248.892264,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719465248.892264,Xact,705,89827078,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719465248.892264,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465308.908252,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719465308.908252,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719465308.908252,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719465308.908252,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465308.908252,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465308.908252,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719465308.908252,Xact,705,89827078,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719465308.908252,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465368.919359,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719465368.919359,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719465368.919359,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719465368.919359,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465368.919359,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465368.919359,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719465368.919359,Xact,705,89827078,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719465368.919359,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465428.935845,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719465428.935845,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719465428.935845,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719465428.935845,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465428.935845,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465428.935845,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719465428.935845,Xact,705,89827078,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719465428.935845,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465488.940294,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719465488.940294,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719465488.940294,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719465488.940294,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465488.940294,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465488.940294,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719465488.940294,Xact,705,89827078,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719465488.940294,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465548.958359,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719465548.958359,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719465548.958359,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719465548.958359,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465548.958359,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465548.958359,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719465548.958359,Xact,705,89827078,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719465548.958359,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465608.969801,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719465608.969801,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719465608.969801,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719465608.969801,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465608.969801,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465608.969801,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719465608.969801,Xact,705,89827078,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719465608.969801,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465668.979222,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719465668.979222,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719465668.979222,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719465668.979222,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465668.979222,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465668.979222,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719465668.979222,Xact,705,89827086,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719465668.979222,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465728.997441,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719465728.997441,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719465728.997441,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719465728.997441,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465728.997441,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465728.997441,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719465728.997441,Xact,705,89827129,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719465728.997441,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465789.005624,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719465789.005624,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719465789.005624,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719465789.005624,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465789.005624,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465789.005624,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719465789.005624,Xact,705,89827129,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719465789.005624,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465849.020793,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719465849.020793,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719465849.020793,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719465849.020793,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465849.020793,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465849.020793,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719465849.020793,Xact,705,89827129,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719465849.020793,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465909.032760,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719465909.032760,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719465909.032760,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719465909.032760,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465909.032760,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465909.032760,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719465909.032760,Xact,705,89827129,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719465909.032760,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465969.042639,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719465969.042639,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719465969.042639,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719465969.042639,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465969.042639,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719465969.042639,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719465969.042639,Xact,705,89827241,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719465969.042639,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719466029.053002,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719466029.053002,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719466029.053002,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719466029.053002,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719466029.053002,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719466029.053002,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719466029.053002,Xact,705,89827241,9,759,0,44,0,2024-06-13 18:53:49.178489+00
