ctime,wal_records,wal_fpi,wal_bytes,wal_buffers_full,wal_write,wal_sync,wal_write_time,wal_sync_time,stats_reset
1719464828.823626,392419208,81032919,1604020142892,17806174,19418300,1598582,0,0,2024-06-13 18:53:49.178489+00
1719464888.834757,392419472,81032919,1604020164343,17806174,19418425,1598707,0,0,2024-06-13 18:53:49.178489+00
1719464948.846721,392419491,81032919,1604020165569,17806174,19418435,1598717,0,0,2024-06-13 18:53:49.178489+00
1719465008.856790,392419543,81032919,1604020173110,17806174,19418458,1598740,0,0,2024-06-13 18:53:49.178489+00
1719465068.863198,392419605,81032919,1604020176877,17806174,19418489,1598771,0,0,2024-06-13 18:53:49.178489+00
1719465128.874576,392419648,81032919,1604020179481,17806174,19418512,1598794,0,0,2024-06-13 18:53:49.178489+00
1719465188.885674,392419739,81032920,1604020194946,17806174,19418554,1598836,0,0,2024-06-13 18:53:49.178489+00
1719465248.894449,392419740,81032920,1604020194996,17806174,19418555,1598837,0,0,2024-06-13 18:53:49.178489+00
1719465308.910100,392419740,81032920,1604020194996,17806174,19418555,1598837,0,0,2024-06-13 18:53:49.178489+00
1719465368.918983,392419740,81032920,1604020194996,17806174,19418555,1598837,0,0,2024-06-13 18:53:49.178489+00
1719465428.932996,392419740,81032920,1604020194996,17806174,19418555,1598837,0,0,2024-06-13 18:53:49.178489+00
1719465488.943018,392419740,81032920,1604020194996,17806174,19418555,1598837,0,0,2024-06-13 18:53:49.178489+00
1719465548.956431,392419740,81032920,1604020194996,17806174,19418555,1598837,0,0,2024-06-13 18:53:49.178489+00
1719465608.966036,392419740,81032920,1604020194996,17806174,19418555,1598837,0,0,2024-06-13 18:53:49.178489+00
1719465668.982610,392419748,81032920,1604020195474,17806174,19418559,1598841,0,0,2024-06-13 18:53:49.178489+00
1719465728.996394,392419798,81032920,1604020198709,17806174,19418584,1598866,0,0,2024-06-13 18:53:49.178489+00
1719465789.007097,392419799,81032920,1604020198759,17806174,19418585,1598867,0,0,2024-06-13 18:53:49.178489+00
1719465849.017324,392419799,81032920,1604020198759,17806174,19418585,1598867,0,0,2024-06-13 18:53:49.178489+00
1719465909.033222,392419799,81032920,1604020198759,17806174,19418585,1598867,0,0,2024-06-13 18:53:49.178489+00
1719465969.041932,392419922,81032921,1604020211797,17806174,19418644,1598925,0,0,2024-06-13 18:53:49.178489+00
1719466029.053503,392419924,81032921,1604020211897,17806174,19418645,1598927,0,0,2024-06-13 18:53:49.178489+00
1719466089.065597,392419924,81032921,1604020211897,17806174,19418645,1598927,0,0,2024-06-13 18:53:49.178489+00
1719466149.072398,392419924,81032921,1604020211897,17806174,19418645,1598927,0,0,2024-06-13 18:53:49.178489+00
1719466209.084046,392419953,81032921,1604020213668,17806174,19418660,1598942,0,0,2024-06-13 18:53:49.178489+00
1719466269.095820,392419953,81032921,1604020213668,17806174,19418660,1598942,0,0,2024-06-13 18:53:49.178489+00
1719466329.105702,392419953,81032921,1604020213668,17806174,19418660,1598942,0,0,2024-06-13 18:53:49.178489+00
1719466389.118644,392419953,81032921,1604020213668,17806174,19418660,1598942,0,0,2024-06-13 18:53:49.178489+00
1719466449.128983,392419953,81032921,1604020213668,17806174,19418660,1598942,0,0,2024-06-13 18:53:49.178489+00
1719466509.142285,392419953,81032921,1604020213668,17806174,19418660,1598942,0,0,2024-06-13 18:53:49.178489+00
1719466569.153287,392419955,81032921,1604020213832,17806174,19418661,1598943,0,0,2024-06-13 18:53:49.178489+00
1719466629.161314,392419956,81032921,1604020213882,17806174,19418662,1598944,0,0,2024-06-13 18:53:49.178489+00
1719466689.172726,392419956,81032921,1604020213882,17806174,19418662,1598944,0,0,2024-06-13 18:53:49.178489+00
1719466749.183049,392419956,81032921,1604020213882,17806174,19418662,1598944,0,0,2024-06-13 18:53:49.178489+00
1719466809.197652,392419956,81032921,1604020213882,17806174,19418662,1598944,0,0,2024-06-13 18:53:49.178489+00
1719466869.212150,392419956,81032921,1604020213882,17806174,19418662,1598944,0,0,2024-06-13 18:53:49.178489+00
1719466929.226976,392419956,81032921,1604020213882,17806174,19418662,1598944,0,0,2024-06-13 18:53:49.178489+00
1719466989.238195,392419956,81032921,1604020213882,17806174,19418662,1598944,0,0,2024-06-13 18:53:49.178489+00
1719467049.245947,392419956,81032921,1604020213882,17806174,19418662,1598944,0,0,2024-06-13 18:53:49.178489+00
1719467109.262167,392419956,81032921,1604020213882,17806174,19418662,1598944,0,0,2024-06-13 18:53:49.178489+00
1719467169.271198,392419956,81032921,1604020213882,17806174,19418662,1598944,0,0,2024-06-13 18:53:49.178489+00
1719467229.280369,392419956,81032921,1604020213882,17806174,19418662,1598944,0,0,2024-06-13 18:53:49.178489+00
1719467289.289749,392419956,81032921,1604020213882,17806174,19418662,1598944,0,0,2024-06-13 18:53:49.178489+00
1719467349.308024,392420053,81032932,1604020285523,17806174,19418706,1598988,0,0,2024-06-13 18:53:49.178489+00
1719467409.315057,392420105,81032932,1604020288689,17806174,19418733,1599015,0,0,2024-06-13 18:53:49.178489+00
1719467469.329698,392420114,81032932,1604020289233,17806174,19418738,1599020,0,0,2024-06-13 18:53:49.178489+00
1719467529.336773,392420148,81032932,1604020291478,17806174,19418755,1599037,0,0,2024-06-13 18:53:49.178489+00
1719467589.351071,392420148,81032932,1604020291478,17806174,19418755,1599037,0,0,2024-06-13 18:53:49.178489+00
1719467649.359822,392420148,81032932,1604020291478,17806174,19418755,1599037,0,0,2024-06-13 18:53:49.178489+00
1719467709.373495,392420148,81032932,1604020291478,17806174,19418755,1599037,0,0,2024-06-13 18:53:49.178489+00
1719467769.386913,392420148,81032932,1604020291478,17806174,19418755,1599037,0,0,2024-06-13 18:53:49.178489+00
1719467829.395719,392420148,81032932,1604020291478,17806174,19418755,1599037,0,0,2024-06-13 18:53:49.178489+00
1719467889.406674,392420148,81032932,1604020291478,17806174,19418755,1599037,0,0,2024-06-13 18:53:49.178489+00
1719467949.422200,392420148,81032932,1604020291478,17806174,19418755,1599037,0,0,2024-06-13 18:53:49.178489+00
1719468009.434569,392420148,81032932,1604020291478,17806174,19418755,1599037,0,0,2024-06-13 18:53:49.178489+00
1719468069.448540,392420148,81032932,1604020291478,17806174,19418755,1599037,0,0,2024-06-13 18:53:49.178489+00
1719468129.449495,392420148,81032932,1604020291478,17806174,19418755,1599037,0,0,2024-06-13 18:53:49.178489+00
1719468189.461882,392420148,81032932,1604020291478,17806174,19418755,1599037,0,0,2024-06-13 18:53:49.178489+00
1719468249.468501,392420148,81032932,1604020291478,17806174,19418755,1599037,0,0,2024-06-13 18:53:49.178489+00
1719468309.479885,392420148,81032932,1604020291478,17806174,19418755,1599037,0,0,2024-06-13 18:53:49.178489+00
1719468369.489627,392420150,81032932,1604020291642,17806174,19418756,1599038,0,0,2024-06-13 18:53:49.178489+00
1719468429.501096,392420151,81032932,1604020291692,17806174,19418757,1599039,0,0,2024-06-13 18:53:49.178489+00
1719468489.515946,392420151,81032932,1604020291692,17806174,19418757,1599039,0,0,2024-06-13 18:53:49.178489+00
1719468549.526846,392420151,81032932,1604020291692,17806174,19418757,1599039,0,0,2024-06-13 18:53:49.178489+00
1719468609.535835,392420151,81032932,1604020291692,17806174,19418757,1599039,0,0,2024-06-13 18:53:49.178489+00
