Linux 6.1.0-21-amd64 (palamar) 	06/27/2024 	_x86_64_	(64 CPU)

05:07:08 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:08:08 AM     all      7.54      0.00      0.61      0.00      0.00     91.85
05:09:08 AM     all      6.33      0.00      0.16      0.00      0.00     93.51
05:10:08 AM     all      6.33      0.00      0.13      0.00      0.00     93.54
05:11:08 AM     all      6.59      0.00      0.28      0.00      0.00     93.13
05:12:08 AM     all      6.48      0.00      0.15      0.00      0.00     93.37
05:13:08 AM     all      6.28      0.00      0.25      0.00      0.00     93.47
05:14:08 AM     all      5.85      0.00      0.46      0.00      0.00     93.69
05:15:08 AM     all      5.86      0.00      0.43      0.00      0.00     93.70
05:16:08 AM     all      5.86      0.00      0.43      0.00      0.00     93.70
05:17:08 AM     all      5.85      0.00      0.45      0.00      0.00     93.70
05:18:08 AM     all      5.85      0.00      0.44      0.00      0.00     93.71
05:19:08 AM     all      5.85      0.00      0.44      0.00      0.00     93.70
05:20:08 AM     all      5.87      0.00      0.43      0.00      0.00     93.70
05:21:08 AM     all      5.86      0.00      0.44      0.00      0.00     93.70
05:22:08 AM     all      6.32      0.00      0.61      0.00      0.00     93.07
05:23:08 AM     all      5.65      0.00      0.65      0.00      0.00     93.70
05:24:08 AM     all      5.65      0.00      0.64      0.00      0.00     93.71
05:25:08 AM     all      5.65      0.00      0.65      0.00      0.00     93.70
05:26:08 AM     all      6.31      0.00      0.89      0.00      0.00     92.80
05:27:08 AM     all      5.63      0.00      0.67      0.00      0.00     93.70
05:28:08 AM     all      5.65      0.00      0.65      0.00      0.00     93.70
05:29:08 AM     all      5.64      0.00      0.66      0.00      0.00     93.70
05:30:08 AM     all      5.65      0.00      0.81      0.00      0.00     93.54
05:31:08 AM     all      5.44      0.00      0.86      0.00      0.00     93.70
05:32:08 AM     all      5.45      0.00      0.85      0.00      0.00     93.70
05:33:08 AM     all      5.42      0.00      0.87      0.00      0.00     93.70
05:34:08 AM     all      5.44      0.00      0.86      0.00      0.00     93.70
05:35:08 AM     all      5.43      0.00      0.87      0.00      0.00     93.70
05:36:08 AM     all      5.45      0.00      0.85      0.00      0.00     93.70
05:37:08 AM     all      5.45      0.00      0.85      0.00      0.00     93.70
05:38:08 AM     all      5.44      0.00      0.86      0.00      0.00     93.70
05:39:08 AM     all      5.44      0.00      0.86      0.00      0.00     93.70
05:40:08 AM     all      5.44      0.00      0.86      0.00      0.00     93.70
05:41:08 AM     all      5.44      0.00      0.85      0.00      0.00     93.70
05:42:08 AM     all      5.44      0.00      0.85      0.00      0.00     93.71
05:43:08 AM     all      5.43      0.00      0.86      0.00      0.00     93.70
05:44:08 AM     all      5.44      0.00      0.86      0.00      0.00     93.70
05:45:08 AM     all      5.45      0.00      0.86      0.00      0.00     93.69
05:46:08 AM     all      5.43      0.00      0.87      0.00      0.00     93.70
05:47:08 AM     all      5.44      0.00      0.86      0.00      0.00     93.70
05:48:08 AM     all      5.46      0.00      0.84      0.00      0.00     93.71
05:49:08 AM     all      6.26      0.00      0.91      0.00      0.00     92.83
05:50:08 AM     all      6.09      0.00      0.81      0.00      0.00     93.10
05:51:08 AM     all      5.62      0.00      0.68      0.00      0.00     93.70
05:52:08 AM     all      5.55      0.00      0.92      0.00      0.00     93.53
05:53:08 AM     all      5.41      0.00      0.89      0.00      0.00     93.70
05:54:08 AM     all      5.40      0.00      0.89      0.00      0.00     93.71
05:55:08 AM     all      5.40      0.00      0.89      0.00      0.00     93.70
05:56:08 AM     all      5.40      0.00      0.90      0.00      0.00     93.70
05:57:08 AM     all      5.41      0.00      0.89      0.00      0.00     93.70
05:58:08 AM     all      5.40      0.00      0.89      0.00      0.00     93.70
05:59:08 AM     all      5.40      0.00      0.90      0.00      0.00     93.70
06:00:08 AM     all      5.41      0.00      0.88      0.00      0.00     93.71
06:01:08 AM     all      5.42      0.00      0.88      0.00      0.00     93.70
06:02:08 AM     all      5.42      0.00      0.88      0.00      0.00     93.70
06:03:08 AM     all      5.42      0.00      0.88      0.00      0.00     93.70
06:04:08 AM     all      5.40      0.00      0.89      0.00      0.00     93.70
06:05:08 AM     all      5.41      0.00      0.89      0.00      0.00     93.70
06:06:08 AM     all      5.40      0.00      0.89      0.00      0.00     93.70
06:07:08 AM     all      5.39      0.00      0.91      0.00      0.00     93.70
06:08:08 AM     all      5.40      0.00      0.90      0.00      0.00     93.70
06:09:08 AM     all      5.42      0.00      0.88      0.00      0.00     93.70
06:10:08 AM     all      5.40      0.00      0.90      0.00      0.00     93.70
06:11:08 AM     all      5.45      0.01      0.92      0.01      0.00     93.60
06:12:08 AM     all      5.41      0.00      0.88      0.00      0.00     93.71
06:13:08 AM     all      5.40      0.00      0.90      0.00      0.00     93.70
06:14:08 AM     all      5.41      0.00      0.89      0.00      0.00     93.70
06:15:08 AM     all      5.40      0.00      0.90      0.00      0.00     93.70
06:16:08 AM     all      5.40      0.00      0.89      0.00      0.00     93.70
06:17:08 AM     all      5.40      0.00      0.89      0.00      0.00     93.70
06:18:08 AM     all      5.41      0.00      0.88      0.00      0.00     93.71
06:19:08 AM     all      5.41      0.00      0.89      0.00      0.00     93.70
06:20:08 AM     all      5.41      0.00      0.89      0.00      0.00     93.70
06:21:08 AM     all      5.40      0.00      0.90      0.00      0.00     93.70
06:22:08 AM     all      5.40      0.00      0.90      0.00      0.00     93.70
06:23:08 AM     all      5.41      0.00      0.89      0.00      0.00     93.70
06:24:08 AM     all      5.40      0.00      0.89      0.00      0.00     93.71
06:25:08 AM     all      6.10      0.00      0.87      0.00      0.00     93.03
06:26:08 AM     all      5.70      0.00      0.70      0.00      0.00     93.60
06:27:08 AM     all      5.63      0.00      0.67      0.00      0.00     93.70
06:28:08 AM     all      5.63      0.00      0.66      0.00      0.00     93.70
06:29:08 AM     all      5.62      0.00      0.67      0.00      0.00     93.70
06:30:08 AM     all      5.64      0.00      0.66      0.00      0.00     93.70
06:31:08 AM     all      5.64      0.00      0.66      0.00      0.00     93.70
06:32:08 AM     all      5.48      0.00      0.84      0.00      0.00     93.68
06:33:08 AM     all      5.68      0.00      0.83      0.00      0.00     93.49
06:34:08 AM     all      5.46      0.00      0.86      0.00      0.00     93.68
06:35:08 AM     all      5.44      0.00      0.86      0.00      0.00     93.70
06:36:08 AM     all      5.44      0.00      0.86      0.00      0.00     93.70
06:37:08 AM     all      5.43      0.00      0.86      0.00      0.00     93.70
06:38:08 AM     all      5.44      0.00      0.86      0.00      0.00     93.70
06:39:08 AM     all      5.44      0.00      0.86      0.00      0.00     93.70
06:40:08 AM     all      5.44      0.00      0.86      0.00      0.00     93.70
06:41:08 AM     all      5.44      0.00      0.86      0.00      0.00     93.70
06:42:08 AM     all      5.43      0.00      0.86      0.00      0.00     93.70
06:43:08 AM     all      5.44      0.00      0.86      0.00      0.00     93.70
06:44:08 AM     all      5.44      0.00      0.86      0.00      0.00     93.70
06:45:08 AM     all      5.44      0.00      0.87      0.00      0.00     93.69
06:46:08 AM     all      5.44      0.00      0.86      0.00      0.00     93.70
06:47:08 AM     all      5.44      0.00      0.85      0.00      0.00     93.71
06:48:08 AM     all      5.45      0.00      0.85      0.00      0.00     93.70
06:49:08 AM     all      5.44      0.00      0.86      0.00      0.00     93.70
06:50:08 AM     all      5.42      0.00      0.88      0.00      0.00     93.70
06:51:08 AM     all      5.42      0.00      0.88      0.00      0.00     93.70
06:52:08 AM     all      5.51      0.00      0.86      0.00      0.00     93.63
06:53:08 AM     all      5.70      0.00      0.67      0.00      0.00     93.63
06:54:08 AM     all      5.64      0.00      0.66      0.00      0.00     93.70
06:55:08 AM     all      6.36      0.00      0.75      0.00      0.00     92.88
06:56:08 AM     all      6.19      0.00      0.58      0.00      0.00     93.23
06:57:08 AM     all      6.56      0.00      0.66      0.00      0.00     92.78
06:58:08 AM     all      5.85      0.00      0.45      0.00      0.00     93.70
06:59:08 AM     all      5.85      0.00      0.45      0.00      0.00     93.71
07:00:08 AM     all      5.87      0.00      0.43      0.00      0.00     93.70
07:01:08 AM     all      5.84      0.00      0.45      0.00      0.00     93.70
07:02:08 AM     all      5.85      0.00      0.44      0.00      0.00     93.70
07:03:08 AM     all      5.86      0.00      0.44      0.00      0.00     93.70
07:04:08 AM     all      5.85      0.00      0.44      0.00      0.00     93.70
07:05:08 AM     all      5.85      0.00      0.44      0.00      0.00     93.71
07:06:08 AM     all      5.86      0.00      0.44      0.00      0.00     93.70
07:07:08 AM     all      6.18      0.00      0.50      0.00      0.00     93.32
07:08:08 AM     all      4.81      0.00      0.37      0.00      0.00     94.83
07:09:08 AM     all      2.72      0.00      0.18      0.00      0.00     97.10
07:10:08 AM     all      1.57      0.00      0.04      0.00      0.00     98.39
07:11:08 AM     all      1.47      0.00      0.24      0.00      0.00     98.29
07:12:08 AM     all      5.66      0.00      0.88      0.00      0.00     93.45
07:13:08 AM     all      6.21      0.00      0.60      0.00      0.00     93.18
07:14:08 AM     all      6.09      0.00      0.60      0.00      0.00     93.32
07:15:08 AM     all      5.64      0.00      0.66      0.00      0.00     93.70
07:16:08 AM     all      5.64      0.00      0.66      0.00      0.00     93.70
07:17:08 AM     all      5.64      0.00      0.66      0.00      0.00     93.70
07:18:08 AM     all      5.64      0.00      0.66      0.00      0.00     93.70
07:19:08 AM     all      5.62      0.00      0.67      0.00      0.00     93.70
07:20:08 AM     all      5.64      0.00      0.66      0.00      0.00     93.70
07:21:08 AM     all      5.64      0.00      0.66      0.00      0.00     93.70
07:22:08 AM     all      5.63      0.00      0.66      0.00      0.00     93.71
07:23:08 AM     all      5.65      0.00      0.65      0.00      0.00     93.71
07:24:08 AM     all      5.63      0.00      0.67      0.00      0.00     93.70
07:25:08 AM     all      5.76      0.00      0.68      0.00      0.00     93.55
07:26:08 AM     all      5.64      0.00      0.66      0.00      0.00     93.70
07:27:08 AM     all      5.71      0.00      0.71      0.00      0.00     93.58
07:28:08 AM     all      5.84      0.00      0.92      0.00      0.00     93.24
07:29:08 AM     all      5.43      0.00      0.86      0.00      0.00     93.70
07:30:08 AM     all      5.42      0.00      0.87      0.00      0.00     93.70
07:31:08 AM     all      5.43      0.00      0.86      0.00      0.00     93.70
07:32:08 AM     all      5.43      0.00      0.87      0.00      0.00     93.70
07:33:08 AM     all      5.42      0.00      0.87      0.00      0.00     93.70
07:34:08 AM     all      5.43      0.00      0.87      0.00      0.00     93.70
07:35:08 AM     all      5.42      0.00      0.87      0.00      0.00     93.71
07:36:08 AM     all      5.42      0.00      0.88      0.00      0.00     93.70
07:37:08 AM     all      5.43      0.00      0.87      0.00      0.00     93.70
07:38:08 AM     all      5.43      0.00      0.87      0.00      0.00     93.70
07:39:08 AM     all      5.44      0.00      0.86      0.00      0.00     93.70
07:40:08 AM     all      5.44      0.00      0.85      0.00      0.00     93.71
07:41:08 AM     all      5.43      0.00      0.86      0.00      0.00     93.70
07:42:08 AM     all      5.42      0.00      0.88      0.00      0.00     93.70
07:43:08 AM     all      5.44      0.00      0.86      0.00      0.00     93.70
07:44:08 AM     all      5.42      0.00      0.87      0.00      0.00     93.70
07:45:08 AM     all      5.44      0.00      0.87      0.00      0.00     93.70
07:46:08 AM     all      5.74      0.00      1.00      0.00      0.00     93.26
07:47:08 AM     all      5.64      0.00      0.66      0.00      0.00     93.70
07:48:08 AM     all      5.64      0.00      0.66      0.00      0.00     93.70
07:49:08 AM     all      5.64      0.00      0.66      0.00      0.00     93.70
07:50:08 AM     all      5.64      0.00      0.66      0.00      0.00     93.70
07:51:08 AM     all      5.64      0.00      0.66      0.00      0.00     93.70
07:52:08 AM     all      5.64      0.00      0.65      0.00      0.00     93.71
07:53:08 AM     all      5.65      0.00      0.65      0.00      0.00     93.70
07:54:08 AM     all      5.64      0.00      0.66      0.00      0.00     93.70
07:55:08 AM     all      5.63      0.00      0.67      0.00      0.00     93.70
07:56:08 AM     all      5.64      0.00      0.66      0.00      0.00     93.70
07:57:08 AM     all      5.62      0.00      0.68      0.00      0.00     93.70
07:58:08 AM     all      5.62      0.00      0.68      0.00      0.00     93.71
07:59:08 AM     all      5.82      0.00      0.74      0.00      0.00     93.45
08:00:08 AM     all      6.02      0.00      0.91      0.00      0.00     93.07
08:01:08 AM     all      5.42      0.00      0.88      0.00      0.00     93.70
08:02:08 AM     all      5.52      0.00      0.84      0.00      0.00     93.64
08:03:08 AM     all      5.61      0.00      0.70      0.00      0.00     93.69
08:04:08 AM     all      5.62      0.00      0.68      0.00      0.00     93.69
08:05:08 AM     all      5.63      0.00      0.67      0.00      0.00     93.70
08:06:08 AM     all      5.99      0.00      1.00      0.00      0.00     93.00
08:07:08 AM     all      5.41      0.00      0.89      0.00      0.00     93.70
08:08:08 AM     all      5.41      0.00      0.88      0.00      0.00     93.70
08:09:08 AM     all      5.42      0.00      0.88      0.00      0.00     93.70
08:10:08 AM     all      5.42      0.00      0.88      0.00      0.00     93.71
08:11:08 AM     all      5.52      0.00      0.95      0.00      0.00     93.54
08:12:08 AM     all      5.72      0.00      0.73      0.00      0.00     93.55
08:13:08 AM     all      5.75      0.00      0.76      0.00      0.00     93.49
08:14:08 AM     all      5.71      0.00      0.87      0.00      0.00     93.42
08:15:08 AM     all      5.96      0.00      0.89      0.00      0.00     93.14
08:16:08 AM     all      5.74      0.00      0.95      0.00      0.00     93.30
08:17:08 AM     all      5.42      0.00      0.88      0.00      0.00     93.70
08:18:08 AM     all      5.40      0.00      0.90      0.00      0.00     93.70
08:19:08 AM     all      5.40      0.00      0.91      0.00      0.00     93.70
08:20:08 AM     all      5.43      0.00      0.87      0.00      0.00     93.70
08:21:08 AM     all      5.42      0.00      0.88      0.00      0.00     93.70
08:22:08 AM     all      5.41      0.00      0.88      0.00      0.00     93.70
08:23:08 AM     all      5.41      0.00      0.88      0.00      0.00     93.70
08:24:08 AM     all      5.43      0.00      0.87      0.00      0.00     93.70
08:25:08 AM     all      5.41      0.00      0.89      0.00      0.00     93.70
08:26:08 AM     all      5.41      0.00      0.89      0.00      0.00     93.70
08:27:08 AM     all      5.40      0.00      0.89      0.00      0.00     93.70
08:28:08 AM     all      5.42      0.00      0.88      0.00      0.00     93.70
08:29:08 AM     all      5.42      0.00      0.88      0.00      0.00     93.70
08:30:08 AM     all      5.42      0.00      0.88      0.00      0.00     93.70
08:31:08 AM     all      5.40      0.00      0.90      0.00      0.00     93.70
08:32:08 AM     all      5.41      0.00      0.88      0.00      0.00     93.70
08:33:08 AM     all      5.42      0.00      0.87      0.00      0.00     93.70
08:34:08 AM     all      5.42      0.00      0.88      0.00      0.00     93.71
08:35:08 AM     all      5.40      0.00      0.90      0.00      0.00     93.70
08:36:08 AM     all      5.42      0.00      0.89      0.00      0.00     93.70
08:37:08 AM     all      5.41      0.00      0.89      0.00      0.00     93.70
08:38:08 AM     all      5.41      0.00      0.89      0.00      0.00     93.70
08:39:08 AM     all      5.40      0.00      0.89      0.00      0.00     93.70
08:40:08 AM     all      5.42      0.00      0.88      0.00      0.00     93.71
08:41:08 AM     all      5.41      0.00      0.88      0.00      0.00     93.70
08:42:08 AM     all      5.40      0.00      0.90      0.00      0.00     93.70
08:43:08 AM     all      5.43      0.00      0.87      0.00      0.00     93.70
08:44:08 AM     all      5.42      0.00      0.88      0.00      0.00     93.70
08:45:08 AM     all      5.42      0.00      0.89      0.00      0.00     93.70
08:46:08 AM     all      5.41      0.00      0.89      0.00      0.00     93.71
08:47:08 AM     all      5.42      0.00      0.88      0.00      0.00     93.70
08:48:08 AM     all      5.51      0.00      0.83      0.00      0.00     93.66
08:49:08 AM     all      5.69      0.00      0.70      0.00      0.00     93.61
08:50:08 AM     all      6.02      0.00      0.72      0.00      0.00     93.26
08:51:08 AM     all      6.14      0.00      0.60      0.00      0.00     93.26
08:52:08 AM     all      5.84      0.00      0.46      0.00      0.00     93.70
08:53:08 AM     all      5.84      0.00      0.46      0.00      0.00     93.70
08:54:08 AM     all      6.03      0.00      0.63      0.00      0.00     93.34
08:55:08 AM     all      5.90      0.00      0.53      0.00      0.00     93.56
08:56:08 AM     all      5.84      0.00      0.46      0.00      0.00     93.70
08:57:08 AM     all      5.84      0.00      0.46      0.00      0.00     93.70
08:58:08 AM     all      5.83      0.00      0.47      0.00      0.00     93.70
08:59:08 AM     all      5.85      0.00      0.45      0.00      0.00     93.70
09:00:08 AM     all      5.83      0.00      0.47      0.00      0.00     93.70
