# hostname;interval;timestamp;DEV;tps;rkB/s;wkB/s;dkB/s;areq-sz;aqu-sz;await;%util
palamar;60;1719464888;nvme0n1;21.93;0.00;2612.78;375.47;136.24;0.00;0.16;0.49
palamar;60;1719464888;nvme1n1;22.40;0.00;2616.50;375.80;133.58;0.00;0.19;0.60
palamar;60;1719464888;sda;3.58;0.07;160.13;0.00;44.71;0.00;1.11;0.21
palamar;60;1719464888;sda1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719464888;sda2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719464888;sda3;3.58;0.07;160.13;0.00;44.71;0.00;1.11;0.21
palamar;60;1719464888;sdb;0.17;0.00;12.00;0.00;72.00;0.00;0.30;0.07
palamar;60;1719464888;pg-data;655.10;0.00;5229.27;751.27;9.13;0.07;0.11;0.78
palamar;60;1719464948;nvme0n1;0.47;0.00;3.15;1838.00;3945.32;0.00;0.04;0.07
palamar;60;1719464948;nvme1n1;0.38;0.00;2.54;1838.07;4801.59;0.00;0.04;0.05
palamar;60;1719464948;sda;0.93;0.00;15.47;0.00;16.57;0.00;0.30;0.06
palamar;60;1719464948;sda1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719464948;sda2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719464948;sda3;0.93;0.00;15.47;0.00;16.57;0.00;0.30;0.06
palamar;60;1719464948;sdb;0.05;0.00;1.33;0.00;26.67;0.00;0.33;0.02
palamar;60;1719464948;pg-data;0.85;0.00;5.69;3676.07;4331.48;0.00;0.00;0.10
palamar;60;1719465008;nvme0n1;0.25;0.00;1.93;0.00;7.73;0.00;0.00;0.05
palamar;60;1719465008;nvme1n1;0.18;0.00;1.27;0.00;6.95;0.00;0.00;0.04
palamar;60;1719465008;sda;1.10;0.00;17.33;0.00;15.76;0.00;0.24;0.07
palamar;60;1719465008;sda1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719465008;sda2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719465008;sda3;1.10;0.00;17.33;0.00;15.76;0.00;0.24;0.07
palamar;60;1719465008;sdb;0.07;0.00;1.73;0.00;26.00;0.00;0.25;0.03
palamar;60;1719465008;pg-data;0.43;0.00;3.21;0.00;7.40;0.00;0.15;0.09
palamar;60;1719465068;nvme0n1;0.65;0.00;66.14;0.00;101.76;0.00;0.13;0.02
palamar;60;1719465068;nvme1n1;1.12;0.00;70.01;0.00;62.69;0.00;0.10;0.14
palamar;60;1719465068;sda;0.88;0.00;18.27;0.00;20.68;0.00;0.25;0.09
palamar;60;1719465068;sda1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719465068;sda2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719465068;sda3;0.88;0.00;18.27;0.00;20.68;0.00;0.26;0.09
palamar;60;1719465068;sdb;0.08;0.00;3.07;0.00;36.80;0.00;0.20;0.03
palamar;60;1719465068;pg-data;17.08;0.00;136.15;0.00;7.97;0.00;0.00;0.14
palamar;60;1719465128;nvme0n1;14.43;0.00;1838.27;1903.33;259.23;0.00;0.17;0.21
palamar;60;1719465128;nvme1n1;14.82;0.00;1841.40;1903.53;252.75;0.00;0.20;0.30
palamar;60;1719465128;sda;0.88;0.00;17.73;0.00;20.08;0.00;0.28;0.05
palamar;60;1719465128;sda1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719465128;sda2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719465128;sda3;0.88;0.00;17.73;0.00;20.08;0.00;0.28;0.05
palamar;60;1719465128;sdb;0.12;0.00;2.87;0.00;24.57;0.00;0.14;0.03
palamar;60;1719465128;pg-data;460.73;0.00;3679.67;3806.87;16.25;0.06;0.12;0.30
palamar;60;1719465188;nvme0n1;20.58;0.00;2611.00;0.00;126.85;0.00;0.16;0.31
palamar;60;1719465188;nvme1n1;21.17;0.00;2615.62;0.00;123.57;0.00;0.19;0.41
palamar;60;1719465188;sda;1.05;0.00;21.40;0.00;20.38;0.00;0.27;0.07
palamar;60;1719465188;sda1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719465188;sda2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
