# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
palamar;60;1719464888;-1;7.54;0.00;0.61;0.00;0.00;91.85
palamar;60;1719464888;0;0.00;0.00;0.00;0.00;0.00;100.00
palamar;60;1719464888;1;0.03;0.00;0.03;0.00;0.00;99.93
palamar;60;1719464888;2;0.02;0.00;0.23;0.00;0.00;99.75
palamar;60;1719464888;3;9.59;0.00;2.68;0.02;0.00;87.71
palamar;60;1719464888;4;0.00;0.00;0.00;0.00;0.00;100.00
palamar;60;1719464888;5;0.03;0.00;0.00;0.00;0.00;99.97
palamar;60;1719464888;6;0.00;0.00;0.03;0.02;0.00;99.95
palamar;60;1719464888;7;93.15;0.00;2.40;0.02;0.00;4.43
palamar;60;1719464888;8;0.47;0.00;0.23;0.00;0.00;99.30
palamar;60;1719464888;9;9.69;0.00;2.73;0.00;0.00;87.58
palamar;60;1719464888;10;2.63;0.00;1.50;0.05;0.00;95.82
palamar;60;1719464888;11;4.05;0.00;1.32;0.00;0.00;94.63
palamar;60;1719464888;12;0.00;0.00;0.02;0.00;0.00;99.98
palamar;60;1719464888;13;97.38;0.00;1.57;0.00;0.00;1.05
palamar;60;1719464888;14;0.03;0.00;0.07;0.00;0.00;99.90
palamar;60;1719464888;15;0.00;0.00;0.02;0.00;0.00;99.98
palamar;60;1719464888;16;0.00;0.00;0.07;0.00;0.00;99.93
palamar;60;1719464888;17;0.00;0.00;0.00;0.00;0.00;100.00
palamar;60;1719464888;18;0.00;0.00;0.82;0.00;0.00;99.18
palamar;60;1719464888;19;0.00;0.00;0.00;0.00;0.00;100.00
palamar;60;1719464888;20;0.97;0.00;0.50;0.00;0.00;98.53
palamar;60;1719464888;21;1.13;0.00;0.37;0.00;0.00;98.50
palamar;60;1719464888;22;0.02;0.00;0.00;0.00;0.00;99.98
palamar;60;1719464888;23;0.00;0.00;0.00;0.00;0.00;100.00
palamar;60;1719464888;24;0.00;0.00;0.02;0.00;0.00;99.98
