# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
palamar;60;1719464888;74346288;255453676;1170132;0.44;208684;184327592;69259324;26.09;129760304;55130808;28
palamar;60;1719464948;74582692;255470780;1152732;0.44;208684;184109208;69219732;26.07;129560576;55056820;336
palamar;60;1719465008;74525132;255413756;1210736;0.46;208684;184109060;69269660;26.09;129560628;55126184;8
palamar;60;1719465068;74433664;255391140;1232400;0.47;208688;184178856;69324412;26.11;129560964;55243664;60200
palamar;60;1719465128;74469936;255407872;1216532;0.46;208700;184158744;69301596;26.10;129560792;55196952;47568
palamar;60;1719465188;73833020;255303316;1320824;0.50;208708;184691116;69393680;26.14;129639532;55744332;265716
palamar;60;1719465248;73808204;255278940;1345228;0.51;208712;184691548;69393680;26.14;129639540;55744784;0
palamar;60;1719465308;73802480;255273652;1350476;0.51;208712;184691984;69393680;26.14;129639540;55745180;64
palamar;60;1719465368;73794040;255265652;1358648;0.52;208712;184692424;69393680;26.14;129639544;55745132;0
palamar;60;1719465428;73794736;255266736;1357496;0.52;208712;184692856;69393680;26.14;129639540;55745988;0
palamar;60;1719465488;73808900;255281376;1343048;0.51;208712;184693288;69393680;26.14;129639548;55746392;0
palamar;60;1719465548;73791376;255264284;1360048;0.52;208712;184693720;69393680;26.14;129639552;55746764;0
palamar;60;1719465608;73793652;255267000;1357504;0.52;208712;184694160;69393680;26.14;129639552;55747264;4
palamar;60;1719465668;73882308;255309600;1315444;0.50;208712;184647680;69357144;26.12;129639416;55672244;44
palamar;60;1719465728;73784604;255273864;1350688;0.51;208716;184710132;69407812;26.14;129700696;55723548;61148
palamar;60;1719465788;73780944;255270648;1353752;0.51;208716;184710576;69407812;26.14;129700696;55723564;0
palamar;60;1719465848;73778952;255269084;1355560;0.51;208716;184711004;69407812;26.14;129700696;55723968;0
palamar;60;1719465908;73761704;255252268;1372140;0.52;208716;184711436;69407812;26.14;129700692;55724404;32
palamar;60;1719465968;73849828;255294076;1330580;0.50;208720;184664892;69381384;26.13;129700576;55654560;32
palamar;60;1719466028;73828764;255273460;1351200;0.51;208724;184665336;69381384;26.13;129700580;55653856;0
palamar;60;1719466088;73825724;255270860;1354060;0.51;208724;184665776;69381384;26.13;129700584;55654232;0
palamar;60;1719466148;73815316;255260892;1364204;0.52;208728;184666212;69381384;26.13;129700588;55654728;0
palamar;60;1719466208;73709636;255216864;1407728;0.53;208728;184728152;69422904;26.15;129761860;55702992;48
