# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
palamar;60;1719464888;lo;0.05;0.05;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719464888;enp65s0f0;1.37;1.02;0.10;0.07;0.00;0.00;0.12;0.00
palamar;60;1719464888;enp65s0f1;1.32;1.27;0.09;0.09;0.00;0.00;0.10;0.00
palamar;60;1719464888;idrac;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719464888;bond0;2.68;2.28;0.19;0.16;0.00;0.00;0.22;0.00
palamar;60;1719464948;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719464948;enp65s0f0;1.23;1.15;0.09;0.08;0.00;0.00;0.10;0.00
palamar;60;1719464948;enp65s0f1;1.42;1.10;0.10;0.08;0.00;0.00;0.10;0.00
palamar;60;1719464948;idrac;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719464948;bond0;2.65;2.25;0.18;0.16;0.00;0.00;0.20;0.00
palamar;60;1719465008;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719465008;enp65s0f0;1.27;1.03;0.09;0.07;0.00;0.00;0.10;0.00
palamar;60;1719465008;enp65s0f1;1.30;1.17;0.09;0.08;0.00;0.00;0.12;0.00
palamar;60;1719465008;idrac;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719465008;bond0;2.57;2.20;0.18;0.15;0.00;0.00;0.22;0.00
palamar;60;1719465068;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719465068;enp65s0f0;1.33;1.20;0.09;0.08;0.00;0.00;0.12;0.00
palamar;60;1719465068;enp65s0f1;1.47;1.05;0.10;0.07;0.00;0.00;0.07;0.00
palamar;60;1719465068;idrac;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719465068;bond0;2.80;2.25;0.20;0.16;0.00;0.00;0.18;0.00
palamar;60;1719465128;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719465128;enp65s0f0;1.58;1.07;0.11;0.08;0.00;0.00;0.07;0.00
palamar;60;1719465128;enp65s0f1;1.23;1.28;0.09;0.09;0.00;0.00;0.10;0.00
palamar;60;1719465128;idrac;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719465128;bond0;2.82;2.35;0.20;0.16;0.00;0.00;0.17;0.00
palamar;60;1719465188;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719465188;enp65s0f0;1.22;1.27;0.09;0.09;0.00;0.00;0.12;0.00
palamar;60;1719465188;enp65s0f1;1.22;0.87;0.09;0.06;0.00;0.00;0.12;0.00
palamar;60;1719465188;idrac;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719465188;bond0;2.43;2.13;0.17;0.15;0.00;0.00;0.23;0.00
palamar;60;1719465248;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719465248;enp65s0f0;1.37;1.20;0.10;0.08;0.00;0.00;0.10;0.00
palamar;60;1719465248;enp65s0f1;1.38;1.12;0.10;0.08;0.00;0.00;0.10;0.00
palamar;60;1719465248;idrac;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
palamar;60;1719465248;bond0;2.75;2.32;0.19;0.16;0.00;0.00;0.20;0.00
palamar;60;1719465308;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
