# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
palamar;60;1719464888;0.07;5401.42;42205.35;0.08;17562.48;0.00;0.00;0.00;0.00
palamar;60;1719464948;0.00;22.48;8364.22;0.00;4636.57;0.00;0.00;0.00;0.00
palamar;60;1719465008;0.00;22.28;9061.52;0.00;3161.60;0.00;0.00;0.00;0.00
palamar;60;1719465068;0.00;157.48;21595.73;0.00;5357.63;0.00;0.00;0.00;0.00
palamar;60;1719465128;0.00;3700.27;8825.47;0.00;5797.33;0.00;0.00;0.00;0.00
palamar;60;1719465188;0.00;5251.55;11382.33;0.00;3455.37;0.00;0.00;0.00;0.00
palamar;60;1719465248;0.00;4443.62;2664.65;0.00;3443.00;0.00;0.00;0.00;0.00
palamar;60;1719465308;0.00;19.75;2690.70;0.00;1841.45;0.00;0.00;0.00;0.00
palamar;60;1719465368;0.00;13.55;2638.52;0.00;1929.00;0.00;0.00;0.00;0.00
palamar;60;1719465428;0.00;18.27;2685.17;0.00;2102.77;0.00;0.00;0.00;0.00
palamar;60;1719465488;0.00;14.15;2638.73;0.00;1795.23;0.00;0.00;0.00;0.00
palamar;60;1719465548;0.00;13.27;2648.98;0.00;1799.73;0.00;0.00;0.00;0.00
palamar;60;1719465608;0.00;13.33;2647.50;0.00;1799.55;0.00;0.00;0.00;0.00
palamar;60;1719465668;0.00;14.60;2634.23;0.00;2104.73;0.00;0.00;0.00;0.00
palamar;60;1719465728;0.00;437.00;12281.67;0.00;6481.75;0.00;0.00;0.00;0.00
palamar;60;1719465788;0.00;1033.35;2660.25;0.00;2326.17;0.00;0.00;0.00;0.00
palamar;60;1719465848;0.00;13.55;2635.03;0.00;1801.92;0.00;0.00;0.00;0.00
palamar;60;1719465908;0.00;18.33;2641.27;0.00;1790.13;0.00;0.00;0.00;0.00
palamar;60;1719465968;0.00;654.47;20344.23;0.00;11126.57;0.00;0.00;0.00;0.00
palamar;60;1719466028;0.00;15.55;2636.98;0.00;1904.18;0.00;0.00;0.00;0.00
palamar;60;1719466088;0.00;13.95;2633.27;0.00;1794.07;0.00;0.00;0.00;0.00
palamar;60;1719466148;0.00;13.93;2649.77;0.00;1798.75;0.00;0.00;0.00;0.00
palamar;60;1719466208;0.00;1310.08;5589.23;0.00;4671.92;0.00;0.00;0.00;0.00
palamar;60;1719466268;0.00;13.73;2645.72;0.00;1805.98;0.00;0.00;0.00;0.00
palamar;60;1719466328;0.00;13.22;2629.47;0.00;1987.08;0.00;0.00;0.00;0.00
palamar;60;1719466388;0.00;13.62;2631.72;0.00;1798.48;0.00;0.00;0.00;0.00
palamar;60;1719466448;0.00;14.15;2647.55;0.00;1810.00;0.00;0.00;0.00;0.00
palamar;60;1719466508;0.00;18.33;2640.02;0.00;1792.18;0.00;0.00;0.00;0.00
palamar;60;1719466568;0.00;14.53;2622.95;0.00;1780.40;0.00;0.00;0.00;0.00
palamar;60;1719466628;0.00;20.95;2675.42;0.00;1821.53;0.00;0.00;0.00;0.00
palamar;60;1719466688;0.00;13.48;2634.22;0.00;1791.18;0.00;0.00;0.00;0.00
palamar;60;1719466748;0.00;13.40;2635.10;0.00;1788.05;0.00;0.00;0.00;0.00
palamar;60;1719466808;0.00;13.53;2648.75;0.00;1798.13;0.00;0.00;0.00;0.00
palamar;60;1719466868;0.00;13.40;2635.87;0.00;1788.95;0.00;0.00;0.00;0.00
palamar;60;1719466928;0.00;13.27;2647.92;0.00;1797.45;0.00;0.00;0.00;0.00
