# hostname;interval;timestamp;pswpin/s;pswpout/s
palamar;60;1719464888;0.00;0.00
palamar;60;1719464948;0.00;0.00
palamar;60;1719465008;0.00;0.00
palamar;60;1719465068;0.00;0.00
palamar;60;1719465128;0.00;0.00
palamar;60;1719465188;0.00;0.00
palamar;60;1719465248;0.00;0.00
palamar;60;1719465308;0.00;0.00
palamar;60;1719465368;0.00;0.00
palamar;60;1719465428;0.00;0.00
palamar;60;1719465488;0.00;0.00
palamar;60;1719465548;0.00;0.00
palamar;60;1719465608;0.00;0.00
palamar;60;1719465668;0.00;0.00
palamar;60;1719465728;0.00;0.00
palamar;60;1719465788;0.00;0.00
palamar;60;1719465848;0.00;0.00
palamar;60;1719465908;0.00;0.00
palamar;60;1719465968;0.00;0.00
palamar;60;1719466028;0.00;0.00
palamar;60;1719466088;0.00;0.00
palamar;60;1719466148;0.00;0.00
palamar;60;1719466208;0.00;0.00
palamar;60;1719466268;0.00;0.00
palamar;60;1719466328;0.00;0.00
palamar;60;1719466388;0.00;0.00
palamar;60;1719466448;0.00;0.00
palamar;60;1719466508;0.00;0.00
palamar;60;1719466568;0.00;0.00
palamar;60;1719466628;0.00;0.00
palamar;60;1719466688;0.00;0.00
palamar;60;1719466748;0.00;0.00
palamar;60;1719466808;0.00;0.00
palamar;60;1719466868;0.00;0.00
palamar;60;1719466928;0.00;0.00
palamar;60;1719466988;0.00;0.00
palamar;60;1719467048;0.00;0.00
palamar;60;1719467108;0.00;0.00
palamar;60;1719467168;0.00;0.00
palamar;60;1719467228;0.00;0.00
palamar;60;1719467288;0.00;0.00
palamar;60;1719467348;0.00;0.00
palamar;60;1719467408;0.00;0.00
palamar;60;1719467468;0.00;0.00
palamar;60;1719467528;0.00;0.00
palamar;60;1719467588;0.00;0.00
palamar;60;1719467648;0.00;0.00
palamar;60;1719467708;0.00;0.00
palamar;60;1719467768;0.00;0.00
palamar;60;1719467828;0.00;0.00
palamar;60;1719467888;0.00;0.00
palamar;60;1719467948;0.00;0.00
palamar;60;1719468008;0.00;0.00
palamar;60;1719468068;0.00;0.00
palamar;60;1719468128;0.00;0.00
palamar;60;1719468188;0.00;0.00
palamar;60;1719468248;0.00;0.00
