stream,query,template,s_time,e_time,elapsed_time,diff_time
1,1,query83.tpl,2024-06-27 05:07:08,2024-06-27 05:07:08,00:00:00.106669,0.106669
1,2,../query_postgresql/query32.tpl,2024-06-27 05:07:08,2024-06-27 05:07:09,00:00:00.041554,0.041554
4,1,query79.tpl,2024-06-27 05:07:08,2024-06-27 05:07:09,00:00:00.309947,0.309947
2,1,query56.tpl,2024-06-27 05:07:08,2024-06-27 05:07:09,00:00:00.498919,0.498919
2,2,../query_postgresql/query98.tpl,2024-06-27 05:07:09,2024-06-27 05:07:09,00:00:00.148319,0.148319
3,1,query89.tpl,2024-06-27 05:07:08,2024-06-27 05:07:09,00:00:00.759496,0.759496
2,3,query59.tpl,2024-06-27 05:07:09,2024-06-27 05:07:10,00:00:00.966368,0.966368
2,4,query24.tpl,2024-06-27 05:07:10,2024-06-27 05:07:12,00:00:01.564173,1.564173
3,2,../query_postgresql/query5.tpl,2024-06-27 05:07:09,2024-06-27 05:07:12,00:00:02.576154,2.576154
3,3,query52.tpl,2024-06-27 05:07:12,2024-06-27 05:07:12,00:00:00.191821,0.191821
3,4,query62.tpl,2024-06-27 05:07:12,2024-06-27 05:07:12,00:00:00.229732,0.229732
3,5,query53.tpl,2024-06-27 05:07:12,2024-06-27 05:07:12,00:00:00.192227,0.192227
3,6,query7.tpl,2024-06-27 05:07:12,2024-06-27 05:07:13,00:00:01.009471,1.009471
2,5,query88.tpl,2024-06-27 05:07:12,2024-06-27 05:07:14,00:00:02.137304,2.137304
4,2,query39.tpl,2024-06-27 05:07:09,2024-06-27 05:07:14,00:00:05.012452,5.012452
4,3,query93.tpl,2024-06-27 05:07:14,2024-06-27 05:07:14,00:00:00.11981,0.119810
2,6,../query_postgresql/query2.tpl,2024-06-27 05:07:14,2024-06-27 05:07:14,00:00:00.771015,0.771015
4,4,query41.tpl,2024-06-27 05:07:14,2024-06-27 05:07:15,00:00:01.046148,1.046148
4,5,query29.tpl,2024-06-27 05:07:15,2024-06-27 05:07:16,00:00:00.702993,0.702993
4,6,../query_postgresql/query32.tpl,2024-06-27 05:07:16,2024-06-27 05:07:16,00:00:00.030534,0.030534
4,7,query66.tpl,2024-06-27 05:07:16,2024-06-27 05:07:16,00:00:00.416945,0.416945
4,8,query84.tpl,2024-06-27 05:07:16,2024-06-27 05:07:16,00:00:00.087826,0.087826
4,9,query8.tpl,2024-06-27 05:07:16,2024-06-27 05:07:16,00:00:00.131222,0.131222
4,10,query71.tpl,2024-06-27 05:07:16,2024-06-27 05:07:17,00:00:00.331579,0.331579
4,11,query45.tpl,2024-06-27 05:07:17,2024-06-27 05:07:17,00:00:00.123476,0.123476
2,7,../query_postgresql/query5.tpl,2024-06-27 05:07:14,2024-06-27 05:07:17,00:00:02.546114,2.546114
4,12,query89.tpl,2024-06-27 05:07:17,2024-06-27 05:07:17,00:00:00.562449,0.562449
4,13,query91.tpl,2024-06-27 05:07:17,2024-06-27 05:07:17,00:00:00.024247,0.024247
3,7,query39.tpl,2024-06-27 05:07:13,2024-06-27 05:07:18,00:00:04.943381,4.943381
3,8,../query_postgresql/query80.tpl,2024-06-27 05:07:18,2024-06-27 05:07:19,00:00:00.290524,0.290524
3,9,query63.tpl,2024-06-27 05:07:19,2024-06-27 05:07:19,00:00:00.218753,0.218753
3,10,query72.tpl,2024-06-27 05:07:19,2024-06-27 05:07:19,00:00:00.569771,0.569771
3,11,query18.tpl,2024-06-27 05:07:19,2024-06-27 05:07:20,00:00:00.797566,0.797566
3,12,query56.tpl,2024-06-27 05:07:20,2024-06-27 05:07:21,00:00:00.535672,0.535672
3,13,query13.tpl,2024-06-27 05:07:21,2024-06-27 05:07:21,00:00:00.337812,0.337812
3,14,query69.tpl,2024-06-27 05:07:21,2024-06-27 05:07:21,00:00:00.132304,0.132304
1,3,query30.tpl,2024-06-27 05:07:09,2024-06-27 05:07:25,00:00:16.557246,16.557246
1,4,../query_postgresql/query92.tpl,2024-06-27 05:07:25,2024-06-27 05:07:25,00:00:00.03665,0.036650
1,5,query66.tpl,2024-06-27 05:07:25,2024-06-27 05:07:26,00:00:00.468496,0.468496
1,6,query84.tpl,2024-06-27 05:07:26,2024-06-27 05:07:26,00:00:00.092641,0.092641
1,7,../query_postgresql/query98.tpl,2024-06-27 05:07:26,2024-06-27 05:07:26,00:00:00.141656,0.141656
1,8,query58.tpl,2024-06-27 05:07:26,2024-06-27 05:07:26,00:00:00.08784,0.087840
1,9,../query_postgresql/query16.tpl,2024-06-27 05:07:26,2024-06-27 05:07:27,00:00:00.821201,0.821201
1,10,../query_postgresql/query77.tpl,2024-06-27 05:07:27,2024-06-27 05:07:27,00:00:00.233376,0.233376
1,11,../query_postgresql/query40.tpl,2024-06-27 05:07:27,2024-06-27 05:07:27,00:00:00.068148,0.068148
1,12,query96.tpl,2024-06-27 05:07:27,2024-06-27 05:07:27,00:00:00.327663,0.327663
1,13,query13.tpl,2024-06-27 05:07:27,2024-06-27 05:07:28,00:00:00.349497,0.349497
1,14,../query_variants/query36a.tpl,2024-06-27 05:07:28,2024-06-27 05:07:29,00:00:01.112168,1.112168
3,30,query4.tpl,2024-06-27 05:21:59,2024-06-27 06:24:10,01:02:10.915028,3730.915028
